
Processing analyser_yyWW_CMS.C("../../../test_yyWW_cms_EFT_12/delphes_3.root", "../../../HH_lhe_samples/GF_HH_3_cmsgrid_final.lhe", true)...
../../../HH_lhe_samples/GF_HH_3_cmsgrid_final.lhe ../../../test_yyWW_cms_EFT_12/delphes_3.root
dic["Total"]=[500000, 1, 893232]
dic["Total_X_Weight"]=[0.559765, 1.11953e-06, 1]
dic["Selected"]=[155, 0.00031, 276.902]
dic["Selected_X_Weight"]=[0.00017354, 3.47079e-10, 0.000310022]
dic["Pdf_Up"]=[0.000174506, 3.49012e-10, 0.000311749]
dic["Pdf_Down"]=[0.000172573, 3.45146e-10, 0.000308295]
dic["muR_05_muF_05"]=[0.000222523, 4.45046e-10, 0.000397529]
dic["muR_05_muF_10"]=[0.000209196, 4.18392e-10, 0.000373721]
dic["muR_10_muF_05"]=[0.00018462, 3.69239e-10, 0.000329817]
dic["muR_10_muF_20"]=[0.00016327, 3.2654e-10, 0.000291676]
dic["muR_20_muF_10"]=[0.000146391, 2.92782e-10, 0.000261523]
dic["muR_20_muF_20"]=[0.000137715, 2.7543e-10, 0.000246023]
dic["b-jets veto"]=[385033, 0.770066, 687848]
dic["at least two light jets"]=[362114, 0.724228, 646904]
dic["At least one lepton"]=[79986, 0.159972, 142892]
dic["at least two photons"]=[202, 0.000404, 360.866]
dic["leading_photon_tlv.Et() > 35 and second_photon_tlv.Et() > 25"]=[201, 0.000402, 359.079]
dic["leading_photon_tlv.Et() > m_yy * 0.35"]=[201, 0.000402, 359.079]
dic["second_photon_tlv.Et() > m_yy * 0.25"]=[189, 0.000378, 337.642]
dic["H_yy_tlv.Pt() < 100"]=[156, 0.000312, 278.689]
dic["H_yy_tlv.M() < 105 or H_yy_tlv.M() > 160"]=[155, 0.00031, 276.902]
