
Processing analyser_yyWW_CMS.C("../../../test_yyWW_cms_EFT_12/delphes_9.root", "../../../HH_lhe_samples/GF_HH_9_cmsgrid_final.lhe", true)...
../../../HH_lhe_samples/GF_HH_9_cmsgrid_final.lhe ../../../test_yyWW_cms_EFT_12/delphes_9.root
dic["Total"]=[500000, 1, 1.52404e+07]
dic["Total_X_Weight"]=[0.0328075, 6.5615e-08, 1]
dic["Selected"]=[172, 0.000344, 5242.7]
dic["Selected_X_Weight"]=[1.12879e-05, 2.25757e-11, 0.000344063]
dic["Pdf_Up"]=[1.13587e-05, 2.27175e-11, 0.000346223]
dic["Pdf_Down"]=[1.1217e-05, 2.2434e-11, 0.000341903]
dic["muR_05_muF_05"]=[1.46388e-05, 2.92777e-11, 0.000446204]
dic["muR_05_muF_10"]=[1.35072e-05, 2.70144e-11, 0.00041171]
dic["muR_10_muF_05"]=[1.22355e-05, 2.44709e-11, 0.000372947]
dic["muR_10_muF_20"]=[1.04475e-05, 2.0895e-11, 0.000318449]
dic["muR_20_muF_10"]=[9.58047e-06, 1.91609e-11, 0.000292021]
dic["muR_20_muF_20"]=[8.86624e-06, 1.77325e-11, 0.00027025]
dic["b-jets veto"]=[370756, 0.741512, 1.13009e+07]
dic["at least two light jets"]=[355718, 0.711436, 1.08426e+07]
dic["At least one lepton"]=[70045, 0.14009, 2.13503e+06]
dic["at least two photons"]=[207, 0.000414, 6309.53]
dic["leading_photon_tlv.Et() > 35 and second_photon_tlv.Et() > 25"]=[207, 0.000414, 6309.53]
dic["leading_photon_tlv.Et() > m_yy * 0.35"]=[207, 0.000414, 6309.53]
dic["second_photon_tlv.Et() > m_yy * 0.25"]=[195, 0.00039, 5943.76]
dic["H_yy_tlv.Pt() < 100"]=[175, 0.00035, 5334.14]
dic["H_yy_tlv.M() < 105 or H_yy_tlv.M() > 160"]=[172, 0.000344, 5242.7]
